,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Port Alfred,-33.5906,26.891,297.04,90,18,1.79,ZA,1612631334
82,Klaksvík,62.2266,-6.589,275.15,64,40,9.26,FO,1612631335
83,Bethel,41.3712,-73.414,277.59,38,40,8.23,US,1612631337
84,Bambous Virieux,-20.3428,57.7575,299.82,83,20,2.57,MU,1612631338
85,Qaanaaq,77.484,-69.3632,261.52,88,100,3.38,GL,1612631340
86,Tuktoyaktuk,69.4541,-133.0374,246.15,76,90,7.2,CA,1612631342
87,Zhigansk,66.7697,123.3711,232.34,80,45,4.67,RU,1612631343
88,Sistranda,63.7256,8.834,268.15,80,75,6.17,NO,1612631345
89,São José da Coroa Grande,-8.8978,-35.1478,302.71,61,46,6.06,BR,1612631346
90,Les Trois-Bassins,-21.1,55.3,299.82,62,38,0.68,RE,1612631243
91,Safi,32.2994,-9.2372,287.75,69,69,6.67,MA,1612631350
92,Gold Coast,-28.0,153.4333,296.48,94,100,0.51,AU,1612631351
93,Riyadh,24.6877,46.7219,291.15,55,20,4.12,SA,1612631293
94,Warud,21.4667,78.2667,292.68,26,0,5.64,IN,1612631354
95,Zaysan,47.4667,84.8667,265.81,91,56,1.15,KZ,1612631356
96,Constantine,36.365,6.6147,295.15,17,2,9.26,DZ,1612631358
97,Joshīmath,30.5667,79.5667,276.26,50,0,5.89,IN,1612631359
98,Homer,59.6425,-151.5483,274.15,75,1,2.57,US,1612631361
99,Seddon,-37.8068,144.8916,290.37,82,40,5.66,AU,1612631362
100,Lagoa,39.05,-27.9833,288.49,90,100,9.36,PT,1612631364
101,Hofn,64.2539,-15.2082,275.06,84,100,8.12,IS,1612631366
102,Vardø,70.3705,31.1107,270.45,94,98,12.53,NO,1612631367
103,Cantaura,9.3057,-64.3584,305.16,40,100,4.12,VE,1612631369
104,Avarua,-21.2078,-159.775,297.15,94,20,1.03,CK,1612631370
105,Arraial do Cabo,-22.9661,-42.0278,298.15,73,75,2.06,BR,1612631372
106,Chokurdakh,70.6333,147.9167,245.01,87,97,2.17,RU,1612631374
107,Westport,41.1415,-73.3579,279.15,52,1,7.2,US,1612631375
108,Upernavik,72.7868,-56.1549,266.81,81,100,2.91,GL,1612631377
109,Bengkulu,-3.8004,102.2655,297.86,82,82,2.45,ID,1612631378
110,Lázaro Cárdenas,17.9583,-102.2,301.03,57,27,1.58,MX,1612631380
111,Faanui,-16.4833,-151.75,300.64,69,0,4.49,PF,1612631381
112,Mount Isa,-20.7333,139.5,296.15,100,40,3.09,AU,1612631383
113,Dingle,10.9995,122.6711,297.03,91,71,3.69,PH,1612631385
114,Bredasdorp,-34.5322,20.0403,297.15,60,12,7.72,ZA,1612631382
115,Provideniya,64.3833,-173.3,256.53,92,71,1.83,RU,1612631388
116,Hilo,19.7297,-155.09,289.15,72,1,3.09,US,1612631389
117,Taoudenni,22.6783,-3.9836,298.67,20,44,7.86,ML,1612631391
118,Padang,-0.9492,100.3543,297.15,88,20,1.03,ID,1612631393
119,Manbij,36.5281,37.9549,282.15,76,0,3.39,SY,1612631394
120,Ahipara,-35.1667,173.1667,287.87,87,84,1.81,NZ,1612631380
121,Catalão,-18.1658,-47.9464,299.62,77,64,3.68,BR,1612631397
122,Nālūt,30.3333,10.85,296.48,18,100,5.03,LY,1612631399
123,Khatanga,71.9667,102.5,234.96,77,0,2.62,RU,1612631401
124,Albany,42.6001,-73.9662,274.82,59,75,5.66,US,1612631403
125,Goulburn,-34.75,149.7167,286.48,90,0,3.33,AU,1612631405
126,Morondava,-20.2833,44.2833,301.9,75,95,2.45,MG,1612631231
127,Tailai,46.3833,123.4,255.71,87,0,3.11,CN,1612631408
128,Caravelas,-17.7125,-39.2481,301.55,79,93,4.82,BR,1612631410
129,Port Hardy,50.6996,-127.4199,280.15,93,90,5.14,CA,1612631412
130,Bara,10.3744,10.7288,305.15,14,78,5.14,NG,1612631413
131,San Patricio,28.017,-97.5169,291.15,82,90,3.6,US,1612631415
132,Constitución,-35.3333,-72.4167,291.53,71,84,1.87,CL,1612631416
133,Chumphon,10.3333,98.8333,293.8,100,29,1.29,TH,1612631418
134,Gobabis,-22.45,18.9667,301.45,36,60,6.0,NA,1612631420
135,Orlik,52.5178,99.825,252.15,81,42,1.25,RU,1612631421
136,Longyearbyen,78.2186,15.6401,268.15,74,75,2.57,SJ,1612631423
137,Saint-Philippe,-21.3585,55.7679,301.15,74,90,2.06,RE,1612631383
138,Cabo San Lucas,22.8909,-109.9124,295.93,60,1,3.6,MX,1612631393
